feature,importance
parking,0.020454345
restaurant,0.014747964
fire_station,0.00026591265
cinema,0.014325855
dentist,0.009598617
school,0.009327614
atm,0.05223919
fuel,0.007926947
fast_food,0.0
toilets,0.05763389
pharmacy,0.13694194
bank,0.063990876
police,0.008557198
post_box,0.02265822
place_of_worship,0.041033335
bar,0.018353805
pub,0.2629383
cafe,0.013143093
clinic,0.014405529
hospital,0.036351096
community_centre,0.006230581
vending_machine,0.0014077986
bus_station,0.023431849
health_post,0.028796623
college,0.008858649
theatre,0.06422109
marketplace,0.023319973
Latitude,0.03084346
Longitude,0.007996303
